Date,Open,High,Low,Close,Adj Close,Volume
16/08/2011,13.625714,13.691786,13.430714,13.588571,11.667371,498750000
17/08/2011,13.653929,13.732857,13.5,13.587143,11.666141,442061200
18/08/2011,13.244286,13.308929,12.906071,13.073214,11.224874,851435200
19/08/2011,12.934643,13.107143,12.714286,12.715357,10.917617,775888400
22/08/2011,13.018214,13.031429,12.681786,12.73,10.930187,535315200
23/08/2011,12.867857,13.344286,12.75,13.342857,11.456394,656835200
24/08/2011,13.338214,13.534286,13.235714,13.435,11.535515,626267600
25/08/2011,13.038571,13.408929,13.035714,13.347143,11.460075,871346000
26/08/2011,13.256071,13.707143,13.242857,13.699286,11.762432,641477200
29/08/2011,13.863571,13.982143,13.857143,13.9275,11.958381,405269200
30/08/2011,13.866071,13.994286,13.793214,13.928214,11.958993,417922400
31/08/2011,13.948929,14.002857,13.637857,13.743929,11.800763,522586400
1/09/2011,13.779286,13.833571,13.597143,13.608214,11.684236,343725200
2/09/2011,13.383571,13.5,13.279643,13.358929,11.470195,438939200
6/09/2011,13.120357,13.583214,13.088571,13.562143,11.644675,509698000
7/09/2011,13.77,13.771429,13.642857,13.711786,11.773164,350576800
8/09/2011,13.657143,13.878929,13.653929,13.719286,11.779604,416158400
9/09/2011,13.711786,13.785714,13.393571,13.481429,11.575377,564813200
12/09/2011,13.321429,13.602857,13.282143,13.569286,11.650812,467832400
13/09/2011,13.647857,13.793214,13.580357,13.736429,11.794323,440560400
14/09/2011,13.822143,14.0075,13.777143,13.903571,11.937834,534724400
15/09/2011,13.979643,14.059286,13.925,14.034286,12.05007,417818800
16/09/2011,14.126429,14.303571,14.108214,14.303571,12.281279,698513200
19/09/2011,14.178571,14.758214,14.114286,14.701071,12.622581,823860800
20/09/2011,14.830357,15.102143,14.685357,14.766071,12.67839,775754000
21/09/2011,14.987143,15.056786,14.714286,14.719286,12.63822,605976000
22/09/2011,14.3225,14.636429,14.167857,14.350714,12.321762,968480800
23/09/2011,14.295714,14.526429,14.280357,14.439286,12.397809,546277200
26/09/2011,14.280714,14.427857,13.975,14.398929,12.363158,812876400
27/09/2011,14.5975,14.616071,14.216429,14.259286,12.243256,632497600
28/09/2011,14.2925,14.419286,14.161071,14.178929,12.174262,429637600
29/09/2011,14.354286,14.364643,13.793214,13.948929,11.97678,651086800
30/09/2011,13.825714,13.888929,13.613571,13.618571,11.69313,547640800
3/10/2011,13.584643,13.665714,13.3275,13.378571,11.487059,669099200
4/10/2011,13.3775,13.635714,12.651429,13.303571,11.422667,1233677200
5/10/2011,13.137857,13.565,12.867857,13.508929,11.598989,786469600
6/10/2011,13.333214,13.742143,13.278571,13.4775,11.572001,812582400
7/10/2011,13.420714,13.490714,13.160357,13.207143,11.339867,535458000
10/10/2011,13.538929,13.886071,13.5075,13.886071,11.922811,442514800
11/10/2011,14.020357,14.399286,13.982143,14.296071,12.274841,605687600
12/10/2011,14.547857,14.616071,14.290714,14.363929,12.333102,622286000
13/10/2011,14.463571,14.586786,14.3875,14.586786,12.524454,426185200
14/10/2011,14.886786,15.071429,14.831071,15.071429,12.940578,573367200
17/10/2011,15.062143,15.239286,14.855,14.999643,12.878942,686044800
18/10/2011,15.062857,15.171786,14.856786,15.08,12.947934,881602400
19/10/2011,14.333929,14.586429,14.207143,14.236429,12.223632,1104059600
20/10/2011,14.285714,14.298214,14.078929,14.118214,12.122131,549270400
21/10/2011,14.217857,14.255,13.955357,14.031071,12.047306,621244400
24/10/2011,14.149286,14.517857,14.121429,14.491786,12.442886,502138000
